sid,id,minority,female,ses,mathach,size,catholic,pracad,disclim,himinty,meanses
S85,1296,minority,male,0.732,-1.353,1719,public,0.32,-0.137,1,-0.42
S86,1296,minority,female,-0.248,-0.014,1719,public,0.32,-0.137,1,-0.42
S87,1296,minority,female,0.322,5.216,1719,public,0.32,-0.137,1,-0.42
S88,1296,minority,female,0.052,3.587,1719,public,0.32,-0.137,1,-0.42
S89,1296,minority,female,-0.028,11.162,1719,public,0.32,-0.137,1,-0.42
S90,1296,minority,female,-0.898,5.982,1719,public,0.32,-0.137,1,-0.42
S91,1296,minority,male,-0.818,2.814,1719,public,0.32,-0.137,1,-0.42
S92,1296,minority,female,-1.408,7.272,1719,public,0.32,-0.137,1,-0.42
S93,1296,minority,male,-1.258,8.895,1719,public,0.32,-0.137,1,-0.42
S94,1296,minority,male,-0.608,8.773,1719,public,0.32,-0.137,1,-0.42
S95,1296,minority,female,1.242,12.176,1719,public,0.32,-0.137,1,-0.42
S96,1296,other,male,-0.688,3.052,1719,public,0.32,-0.137,1,-0.42
S97,1296,minority,female,-0.828,6.834,1719,public,0.32,-0.137,1,-0.42
S98,1296,minority,female,-0.698,3.255,1719,public,0.32,-0.137,1,-0.42
S99,1296,minority,female,-0.498,6.355,1719,public,0.32,-0.137,1,-0.42
S100,1296,minority,male,-0.658,11.589,1719,public,0.32,-0.137,1,-0.42
S101,1296,minority,female,-0.778,8.08,1719,public,0.32,-0.137,1,-0.42
S102,1296,minority,female,-0.098,19.822,1719,public,0.32,-0.137,1,-0.42
S103,1296,minority,female,-1.028,14.239,1719,public,0.32,-0.137,1,-0.42
S104,1296,minority,female,-0.418,1.17,1719,public,0.32,-0.137,1,-0.42
S105,1296,minority,female,-0.408,-1.127,1719,public,0.32,-0.137,1,-0.42
S106,1296,minority,male,0.352,10.84,1719,public,0.32,-0.137,1,-0.42
S107,1296,minority,female,-1.628,6.778,1719,public,0.32,-0.137,1,-0.42
S108,1296,minority,female,-0.698,9.449,1719,public,0.32,-0.137,1,-0.42
S109,1296,minority,male,-0.168,5.995,1719,public,0.32,-0.137,1,-0.42
S110,1296,minority,female,-0.718,4.765,1719,public,0.32,-0.137,1,-0.42
S111,1296,minority,female,-1.008,14.399,1719,public,0.32,-0.137,1,-0.42
S112,1296,minority,male,-0.178,6.588,1719,public,0.32,-0.137,1,-0.42
S113,1296,minority,male,0.392,11.026,1719,public,0.32,-0.137,1,-0.42
S114,1296,minority,female,-0.358,7.095,1719,public,0.32,-0.137,1,-0.42
S115,1296,minority,male,-0.628,12.721,1719,public,0.32,-0.137,1,-0.42
S116,1296,minority,male,-0.038,5.52,1719,public,0.32,-0.137,1,-0.42
S117,1296,minority,female,0.972,7.353,1719,public,0.32,-0.137,1,-0.42
S118,1296,minority,female,0.252,7.095,1719,public,0.32,-0.137,1,-0.42
S119,1296,minority,female,0.332,9.999,1719,public,0.32,-0.137,1,-0.42
S120,1296,minority,male,-0.308,10.715,1719,public,0.32,-0.137,1,-0.42
S121,1308,other,male,0.422,13.233,716,catholic,0.96,-0.622,0,0.534
S122,1308,other,male,0.562,13.952,716,catholic,0.96,-0.622,0,0.534
S123,1308,minority,male,-0.058,13.757,716,catholic,0.96,-0.622,0,0.534
S124,1308,other,male,0.952,13.97,716,catholic,0.96,-0.622,0,0.534
S125,1308,other,male,0.622,23.434,716,catholic,0.96,-0.622,0,0.534
S126,1308,other,male,0.832,9.162,716,catholic,0.96,-0.622,0,0.534
S127,1308,other,male,1.512,23.818,716,catholic,0.96,-0.622,0,0.534
S128,1308,other,male,0.622,15.998,716,catholic,0.96,-0.622,0,0.534
S129,1308,minority,male,0.332,16.039,716,catholic,0.96,-0.622,0,0.534
S130,1308,other,male,0.442,24.993,716,catholic,0.96,-0.622,0,0.534
S131,1308,minority,male,0.582,15.657,716,catholic,0.96,-0.622,0,0.534
S132,1308,other,male,1.102,16.258,716,catholic,0.96,-0.622,0,0.534
S133,1308,other,male,0.892,10.546,716,catholic,0.96,-0.622,0,0.534
S134,1308,minority,male,0.802,17.615,716,catholic,0.96,-0.622,0,0.534
S135,1308,minority,male,-0.568,21.116,716,catholic,0.96,-0.622,0,0.534
S136,1308,minority,male,0.522,6.493,716,catholic,0.96,-0.622,0,0.534
S137,1308,minority,male,0.102,2.512,716,catholic,0.96,-0.622,0,0.534
S138,1308,minority,male,-0.348,22.393,716,catholic,0.96,-0.622,0,0.534
S139,1308,other,male,0.552,21.488,716,catholic,0.96,-0.622,0,0.534
S140,1308,other,male,0.682,22.676,716,catholic,0.96,-0.622,0,0.534
S141,1317,other,female,0.882,12.862,455,catholic,0.95,-1.694,1,0.351
S142,1317,minority,female,0.932,8.961,455,catholic,0.95,-1.694,1,0.351
S143,1317,minority,female,-0.158,4.756,455,catholic,0.95,-1.694,1,0.351
S144,1317,minority,female,0.362,21.405,455,catholic,0.95,-1.694,1,0.351
S145,1317,other,female,1.372,20.748,455,catholic,0.95,-1.694,1,0.351
S146,1317,minority,female,0.132,18.362,455,catholic,0.95,-1.694,1,0.351
S147,1317,other,female,0.132,14.752,455,catholic,0.95,-1.694,1,0.351
S148,1317,minority,female,-0.008,11.29,455,catholic,0.95,-1.694,1,0.351
S149,1317,minority,female,-0.108,10.493,455,catholic,0.95,-1.694,1,0.351
S150,1317,minority,female,0.612,10.956,455,catholic,0.95,-1.694,1,0.351
S151,1317,minority,female,0.482,21.405,455,catholic,0.95,-1.694,1,0.351
S152,1317,other,female,0.502,23.355,455,catholic,0.95,-1.694,1,0.351
S153,1317,minority,female,0.482,12.283,455,catholic,0.95,-1.694,1,0.351
S154,1317,minority,female,0.472,9.257,455,catholic,0.95,-1.694,1,0.351
S155,1317,other,female,-0.578,11.502,455,catholic,0.95,-1.694,1,0.351
S156,1317,minority,female,1.152,20.039,455,catholic,0.95,-1.694,1,0.351
S157,1317,minority,female,-0.288,21.405,455,catholic,0.95,-1.694,1,0.351
S158,1317,minority,female,0.942,23.736,455,catholic,0.95,-1.694,1,0.351
S159,1317,minority,female,0.722,11.027,455,catholic,0.95,-1.694,1,0.351
S160,1317,minority,female,-0.108,17.203,455,catholic,0.95,-1.694,1,0.351
S161,1317,minority,female,1.462,10.661,455,catholic,0.95,-1.694,1,0.351
S162,1317,minority,female,-0.028,7.031,455,catholic,0.95,-1.694,1,0.351
S163,1317,other,female,0.702,13.677,455,catholic,0.95,-1.694,1,0.351
S164,1317,minority,female,0.082,13.373,455,catholic,0.95,-1.694,1,0.351
S165,1317,minority,female,-0.108,10.121,455,catholic,0.95,-1.694,1,0.351
S166,1317,minority,female,0.322,10.394,455,catholic,0.95,-1.694,1,0.351
S167,1317,minority,female,0.302,6.973,455,catholic,0.95,-1.694,1,0.351
S168,1317,other,female,-0.098,11.064,455,catholic,0.95,-1.694,1,0.351
S169,1317,minority,female,-0.848,11.531,455,catholic,0.95,-1.694,1,0.351
S170,1317,minority,female,-1.248,8.253,455,catholic,0.95,-1.694,1,0.351
S171,1317,minority,female,0.122,7.142,455,catholic,0.95,-1.694,1,0.351
S172,1317,minority,female,0.272,3.22,455,catholic,0.95,-1.694,1,0.351
S173,1317,other,female,0.582,15.784,455,catholic,0.95,-1.694,1,0.351
S174,1317,minority,female,0.642,17.246,455,catholic,0.95,-1.694,1,0.351
S175,1317,minority,female,0.952,9.337,455,catholic,0.95,-1.694,1,0.351
S176,1317,minority,female,-0.258,15.555,455,catholic,0.95,-1.694,1,0.351
S177,1317,minority,female,0.492,8.382,455,catholic,0.95,-1.694,1,0.351
S178,1317,other,female,0.992,11.621,455,catholic,0.95,-1.694,1,0.351
S179,1317,minority,female,0.832,4.81,455,catholic,0.95,-1.694,1,0.351
S180,1317,minority,female,-0.068,17.869,455,catholic,0.95,-1.694,1,0.351
S181,1317,minority,female,-0.088,8.057,455,catholic,0.95,-1.694,1,0.351
S182,1317,minority,female,0.972,11.794,455,catholic,0.95,-1.694,1,0.351
S183,1317,other,female,0.542,18.939,455,catholic,0.95,-1.694,1,0.351
S184,1317,minority,female,0.132,20.261,455,catholic,0.95,-1.694,1,0.351
S185,1317,minority,female,-0.008,10.066,455,catholic,0.95,-1.694,1,0.351
S186,1317,other,female,0.812,20.236,455,catholic,0.95,-1.694,1,0.351
S187,1317,other,female,1.122,4.508,455,catholic,0.95,-1.694,1,0.351
S188,1317,other,female,0.062,18.827,455,catholic,0.95,-1.694,1,0.351
S189,1358,minority,male,0.032,-1.347,1430,public,0.25,1.535,0,-0.014
S190,1358,other,female,-1.088,8.054,1430,public,0.25,1.535,0,-0.014
S191,1358,other,male,0.372,15.655,1430,public,0.25,1.535,0,-0.014
S192,1358,other,male,-0.568,11.648,1430,public,0.25,1.535,0,-0.014
S193,1358,other,male,-0.328,11.629,1430,public,0.25,1.535,0,-0.014
S194,1358,other,female,-0.018,18.687,1430,public,0.25,1.535,0,-0.014
S195,1358,minority,male,-1.208,-0.827,1430,public,0.25,1.535,0,-0.014
S196,1358,other,male,-0.098,7.87,1430,public,0.25,1.535,0,-0.014
S197,1358,other,male,0.942,18.115,1430,public,0.25,1.535,0,-0.014
S198,1358,other,female,-1.408,3.792,1430,public,0.25,1.535,0,-0.014
S199,1358,other,male,0.122,11.03,1430,public,0.25,1.535,0,-0.014
S200,1358,other,female,0.362,7.564,1430,public,0.25,1.535,0,-0.014
S201,1358,minority,female,-0.708,3.465,1430,public,0.25,1.535,0,-0.014
S202,1358,other,male,0.252,15.038,1430,public,0.25,1.535,0,-0.014
S203,1358,other,female,0.312,10.184,1430,public,0.25,1.535,0,-0.014
S204,1358,other,female,-0.678,2.933,1430,public,0.25,1.535,0,-0.014
S205,1358,other,male,-0.148,8.438,1430,public,0.25,1.535,0,-0.014
S206,1358,other,female,-0.168,7.519,1430,public,0.25,1.535,0,-0.014
S207,1358,other,male,1.092,18.735,1430,public,0.25,1.535,0,-0.014
S208,1358,other,female,0.232,10.19,1430,public,0.25,1.535,0,-0.014
S209,1358,other,male,0.422,16.294,1430,public,0.25,1.535,0,-0.014
S210,1358,other,male,1.282,10.65,1430,public,0.25,1.535,0,-0.014
S211,1358,other,male,-0.248,10.301,1430,public,0.25,1.535,0,-0.014
S212,1358,other,male,0.952,17.811,1430,public,0.25,1.535,0,-0.014
S213,1358,other,female,-0.038,14.646,1430,public,0.25,1.535,0,-0.014
S214,1358,other,female,-0.398,17.191,1430,public,0.25,1.535,0,-0.014
S215,1358,other,male,0.162,8.69,1430,public,0.25,1.535,0,-0.014
S216,1358,other,male,0.682,21.142,1430,public,0.25,1.535,0,-0.014
S217,1358,other,male,-0.668,16.499,1430,public,0.25,1.535,0,-0.014
S218,1358,other,male,-0.038,14.591,1430,public,0.25,1.535,0,-0.014
S219,1374,other,male,0.322,16.663,2400,public,0.5,2.016,0,-0.007
S220,1374,minority,female,0.212,-2.155,2400,public,0.5,2.016,0,-0.007
S221,1374,minority,female,0.682,0.085,2400,public,0.5,2.016,0,-0.007
S222,1374,other,female,-0.148,18.804,2400,public,0.5,2.016,0,-0.007
S223,1374,minority,female,-0.468,2.409,2400,public,0.5,2.016,0,-0.007
S224,1374,other,female,0.842,16.759,2400,public,0.5,2.016,0,-0.007
S225,1374,minority,male,0.072,18.948,2400,public,0.5,2.016,0,-0.007
S226,1374,other,female,0.332,10.593,2400,public,0.5,2.016,0,-0.007
S227,1374,other,male,-0.858,15.557,2400,public,0.5,2.016,0,-0.007
S228,1374,other,male,0.902,23.419,2400,public,0.5,2.016,0,-0.007
S229,1374,minority,male,1.242,0.333,2400,public,0.5,2.016,0,-0.007
S230,1374,other,male,-0.738,-2.002,2400,public,0.5,2.016,0,-0.007
S231,1374,other,male,0.362,24.041,2400,public,0.5,2.016,0,-0.007
S232,1374,minority,male,0.712,-2.657,2400,public,0.5,2.016,0,-0.007
S233,1374,other,female,0.452,7.603,2400,public,0.5,2.016,0,-0.007
S234,1374,minority,male,-0.598,5.803,2400,public,0.5,2.016,0,-0.007
S235,1374,minority,male,-1.028,3.931,2400,public,0.5,2.016,0,-0.007
S236,1374,other,male,-0.338,8.268,2400,public,0.5,2.016,0,-0.007
S237,1374,other,male,-0.948,1.344,2400,public,0.5,2.016,0,-0.007
S238,1374,minority,male,0.292,16.449,2400,public,0.5,2.016,0,-0.007
S239,1374,other,female,-1.218,2.881,2400,public,0.5,2.016,0,-0.007
S240,1374,other,female,0.492,20.93,2400,public,0.5,2.016,0,-0.007
S241,1374,other,male,1.152,22.086,2400,public,0.5,2.016,0,-0.007
S242,1374,other,female,-0.758,7.653,2400,public,0.5,2.016,0,-0.007
S243,1374,other,female,-0.298,8.082,2400,public,0.5,2.016,0,-0.007
S244,1374,other,female,-0.478,5.503,2400,public,0.5,2.016,0,-0.007
S245,1374,other,female,0.192,9.004,2400,public,0.5,2.016,0,-0.007
S246,1374,other,male,-0.738,12.063,2400,public,0.5,2.016,0,-0.007
S247,1433,other,male,0.812,12.907,899,catholic,0.96,-0.321,0,0.718
S248,1433,other,male,1.332,18.496,899,catholic,0.96,-0.321,0,0.718
S249,1433,other,male,-0.338,20.323,899,catholic,0.96,-0.321,0,0.718
S250,1433,other,male,1.082,22.682,899,catholic,0.96,-0.321,0,0.718
S251,1433,other,male,0.542,14.198,899,catholic,0.96,-0.321,0,0.718
S252,1433,other,male,0.382,24.044,899,catholic,0.96,-0.321,0,0.718
S253,1433,other,male,0.592,19.571,899,catholic,0.96,-0.321,0,0.718
S254,1433,other,male,0.852,22.183,899,catholic,0.96,-0.321,0,0.718
S255,1433,other,male,-0.368,16.676,899,catholic,0.96,-0.321,0,0.718
S256,1433,other,male,1.022,23.327,899,catholic,0.96,-0.321,0,0.718
S257,1433,other,male,0.712,16.394,899,catholic,0.96,-0.321,0,0.718
S258,1433,other,male,0.272,23.032,899,catholic,0.96,-0.321,0,0.718
S259,1433,other,male,1.182,18.586,899,catholic,0.96,-0.321,0,0.718
S260,1433,other,male,-0.588,15.246,899,catholic,0.96,-0.321,0,0.718
S261,1433,other,male,1.282,20.731,899,catholic,0.96,-0.321,0,0.718
S262,1433,other,male,0.942,20.447,899,catholic,0.96,-0.321,0,0.718
S263,1433,other,male,1.512,23.572,899,catholic,0.96,-0.321,0,0.718
S264,1433,other,male,0.222,17.571,899,catholic,0.96,-0.321,0,0.718
S265,1433,other,male,0.992,24.993,899,catholic,0.96,-0.321,0,0.718
S266,1433,other,male,1.362,24.421,899,catholic,0.96,-0.321,0,0.718
S267,1433,other,male,0.482,11.478,899,catholic,0.96,-0.321,0,0.718
S268,1433,other,male,1.292,24.812,899,catholic,0.96,-0.321,0,0.718
S269,1433,other,male,1.072,22.093,899,catholic,0.96,-0.321,0,0.718
S270,1433,other,male,0.562,18.716,899,catholic,0.96,-0.321,0,0.718
S271,1433,other,male,-0.218,23.392,899,catholic,0.96,-0.321,0,0.718
S272,1433,other,male,1.512,15.992,899,catholic,0.96,-0.321,0,0.718
S273,1433,other,male,0.772,13.254,899,catholic,0.96,-0.321,0,0.718
S274,1433,other,male,0.952,24.812,899,catholic,0.96,-0.321,0,0.718
S275,1433,other,male,1.392,22.086,899,catholic,0.96,-0.321,0,0.718
S276,1433,minority,male,1.002,24.479,899,catholic,0.96,-0.321,0,0.718
S277,1433,other,male,0.932,16.724,899,catholic,0.96,-0.321,0,0.718
S278,1433,other,male,-0.458,20.628,899,catholic,0.96,-0.321,0,0.718
S279,1433,other,male,-0.198,14.544,899,catholic,0.96,-0.321,0,0.718
S280,1433,other,male,0.952,19.033,899,catholic,0.96,-0.321,0,0.718
S281,1433,other,male,1.072,18.727,899,catholic,0.96,-0.321,0,0.718
S282,1436,other,male,0.222,24.133,185,catholic,1,-1.141,0,0.569
S283,1436,other,male,-0.078,18.77,185,catholic,1,-1.141,0,0.569
S284,1436,other,male,1.512,21.803,185,catholic,1,-1.141,0,0.569
S285,1436,other,male,0.212,9.561,185,catholic,1,-1.141,0,0.569
S286,1436,other,female,0.792,15.132,185,catholic,1,-1.141,0,0.569
S287,1436,other,female,1.342,22.387,185,catholic,1,-1.141,0,0.569
S288,1436,other,male,0.242,22.578,185,catholic,1,-1.141,0,0.569
S289,1436,other,male,-0.298,18.763,185,catholic,1,-1.141,0,0.569
S290,1436,other,male,-1.038,18.301,185,catholic,1,-1.141,0,0.569
S291,1436,other,male,0.682,15.879,185,catholic,1,-1.141,0,0.569
S292,1436,other,male,0.802,20.424,185,catholic,1,-1.141,0,0.569
S293,1436,other,male,0.952,23.072,185,catholic,1,-1.141,0,0.569
S294,1436,other,female,1.002,13.12,185,catholic,1,-1.141,0,0.569
S295,1436,other,male,1.142,18.844,185,catholic,1,-1.141,0,0.569
S296,1436,other,female,0.482,17.495,185,catholic,1,-1.141,0,0.569
S297,1436,other,female,1.512,15.615,185,catholic,1,-1.141,0,0.569
S298,1436,other,female,0.242,11.001,185,catholic,1,-1.141,0,0.569
S299,1436,other,female,1.222,17.103,185,catholic,1,-1.141,0,0.569
S300,1436,other,female,-0.298,21.56,185,catholic,1,-1.141,0,0.569
S301,1436,other,male,-0.338,19.419,185,catholic,1,-1.141,0,0.569
S302,1436,other,female,1.042,18.471,185,catholic,1,-1.141,0,0.569
S303,1436,other,male,0.672,22.868,185,catholic,1,-1.141,0,0.569
S304,1436,other,male,0.732,14.138,185,catholic,1,-1.141,0,0.569
S305,1436,other,male,0.822,23.271,185,catholic,1,-1.141,0,0.569
S306,1436,other,male,0.362,13.472,185,catholic,1,-1.141,0,0.569
S307,1436,other,male,-0.318,17.465,185,catholic,1,-1.141,0,0.569
S308,1436,other,male,0.682,16.038,185,catholic,1,-1.141,0,0.569
S309,1436,other,male,0.712,22.455,185,catholic,1,-1.141,0,0.569
S310,1436,other,male,0.542,18.984,185,catholic,1,-1.141,0,0.569
S311,1436,other,male,0.252,12.535,185,catholic,1,-1.141,0,0.569
S312,1436,other,female,0.482,16.568,185,catholic,1,-1.141,0,0.569
S313,1436,other,male,-0.028,22.592,185,catholic,1,-1.141,0,0.569
S314,1436,other,male,0.252,16.886,185,catholic,1,-1.141,0,0.569
S315,1436,other,male,0.702,22.985,185,catholic,1,-1.141,0,0.569
S316,1436,other,female,0.212,6.798,185,catholic,1,-1.141,0,0.569
S317,1436,other,female,0.342,5.51,185,catholic,1,-1.141,0,0.569
S318,1436,other,male,1.342,24.479,185,catholic,1,-1.141,0,0.569
S319,1436,other,female,1.512,18.827,185,catholic,1,-1.141,0,0.569
S320,1436,other,female,1.212,20.268,185,catholic,1,-1.141,0,0.569
S321,1436,other,male,1.122,24.993,185,catholic,1,-1.141,0,0.569
S322,1436,other,male,0.272,15.06,185,catholic,1,-1.141,0,0.569
S323,1436,other,female,0.782,20.818,185,catholic,1,-1.141,0,0.569
S324,1436,other,male,-0.018,18.33,185,catholic,1,-1.141,0,0.569
S325,1436,other,male,0.772,18.14,185,catholic,1,-1.141,0,0.569
S326,1461,other,female,0.042,12.962,1672,public,0.78,2.096,0,0.683
S327,1461,other,female,1.282,24.545,1672,public,0.78,2.096,0,0.683
S328,1461,other,female,1.122,13.314,1672,public,0.78,2.096,0,0.683
S329,1461,other,female,1.172,16.929,1672,public,0.78,2.096,0,0.683
S330,1461,other,female,-1.108,3.796,1672,public,0.78,2.096,0,0.683
S331,1461,other,female,0.822,14.581,1672,public,0.78,2.096,0,0.683
S332,1461,other,female,0.482,18.719,1672,public,0.78,2.096,0,0.683
S333,1461,other,female,0.902,12.595,1672,public,0.78,2.096,0,0.683
S334,1461,other,female,1.022,17.326,1672,public,0.78,2.096,0,0.683
S335,1461,other,female,0.602,15.918,1672,public,0.78,2.096,0,0.683
S336,1461,other,male,1.272,23.088,1672,public,0.78,2.096,0,0.683
S337,1461,other,male,1.352,18.259,1672,public,0.78,2.096,0,0.683
S338,1461,other,male,1.422,23.517,1672,public,0.78,2.096,0,0.683
S339,1461,other,male,-0.108,14.157,1672,public,0.78,2.096,0,0.683
S340,1461,other,male,-0.358,17.999,1672,public,0.78,2.096,0,0.683
S341,1461,other,female,1.202,18.858,1672,public,0.78,2.096,0,0.683
S342,1461,other,male,-0.778,22.183,1672,public,0.78,2.096,0,0.683
S343,1461,other,female,1.102,24.993,1672,public,0.78,2.096,0,0.683
S344,1461,other,female,1.012,20.928,1672,public,0.78,2.096,0,0.683
S345,1461,other,male,1.262,22.461,1672,public,0.78,2.096,0,0.683
S346,1461,other,male,1.392,18.322,1672,public,0.78,2.096,0,0.683
S347,1461,other,female,-0.258,2.895,1672,public,0.78,2.096,0,0.683
S348,1461,other,male,0.932,21.007,1672,public,0.78,2.096,0,0.683
S349,1461,other,male,1.062,18.471,1672,public,0.78,2.096,0,0.683
S350,1461,other,male,1.212,24.48,1672,public,0.78,2.096,0,0.683
S351,1461,other,female,0.982,18.471,1672,public,0.78,2.096,0,0.683
S352,1461,other,female,0.462,18.831,1672,public,0.78,2.096,0,0.683
S353,1461,other,female,0.532,18.114,1672,public,0.78,2.096,0,0.683
S354,1461,other,male,1.062,22.685,1672,public,0.78,2.096,0,0.683
S355,1461,other,male,0.172,-0.338,1672,public,0.78,2.096,0,0.683
S356,1461,other,female,0.492,21.09,1672,public,0.78,2.096,0,0.683
S357,1461,minority,male,-0.668,-2.832,1672,public,0.78,2.096,0,0.683
S358,1461,other,female,1.262,17.483,1672,public,0.78,2.096,0,0.683
S359,1462,minority,male,0.162,1.967,530,catholic,0.46,-0.287,1,-0.663
